Date,Tree Number,Volume(ml),%Sucrose,Refractive Index
3/6/2026,1,0,0,0
3/6/2026,6,0,0,0
3/6/2026,8,"1,000",1.6,1.3355
3/6/2026,12,"2,900",1.4,1.3351
3/6/2026,17,"2,200",2.4,1.3366
3/6/2026,21,100,1.9,1.3358
3/6/2026,22,"3,970",2.9,1.3371
3/6/2026,23,"3,500",2.1,1.336
3/6/2026,31,"3,780",1.9,1.3357
3/6/2026,32,"1,320",2.5,1.3366
3/6/2026,40,"3,400",2.5,1.3367
3/6/2026,42,"4,160",2.3,1.3363
3/8/2026,1,"6,460",1.8,1.3358
3/8/2026,6,"4,160",2.5,1.3367
3/8/2026,8,"3,100",2,1.336
3/8/2026,12,"2,210",1.4,1.3349
3/8/2026,17,"1,800",2.4,1.3366
3/8/2026,21,100,2,1.3359
3/8/2026,22,"1,900",2.6,1.3369
3/8/2026,23,"2,480",2,1.3359
3/8/2026,31,"3,200",1.9,1.3357
3/8/2026,32,"4,720",2.4,1.3365
3/8/2026,40,340,2.6,1.3367
3/8/2026,42,"3,700",2.4,1.3364
3/26/2026,1,480,1.7,1.3355
3/26/2026,6,"6,200",2.1,1.336
3/26/2026,8,"3,300",1.9,1.3357
3/26/2026,12,"11,650",1.6,1.3354
3/26/2026,17,"4,450",2,1.3359
3/26/2026,21,0,0,0
3/26/2026,22,950,3.4,1.338
3/26/2026,23,"7,080",2.2,1.3363
3/26/2026,31,680,2.2,1.3364
3/26/2026,32,"3,180",2.4,1.3367
3/26/2026,40,"4,200",2.3,1.3364
3/26/2026,42,"7,550",2.1,1.3361
3/30/2026,1,"6,900",1.7,1.3353
3/30/2026,6,"10,900",1.8,1.3358
3/30/2026,8,"10,500",2.1,1.3361
3/30/2026,12,"12,000",1.8,1.3357
3/30/2026,17,"6,400",1.9,1.3357
3/30/2026,21,150,2.7,1.337
3/30/2026,22,"2,800",3,1.3374
3/30/2026,23,"10,000",2.3,1.3364
3/30/2026,31,"10,400",2.3,1.3364
3/30/2026,32,"5,000",2.3,1.3365
3/30/2026,40,"9,200",2.1,1.336
3/30/2026,42,"12,300",1.9,1.3358
3/31/2026,1,"2,300",1.7,1.3355
3/31/2026,6,"10,000",2.2,1.3362
3/31/2026,8,"5,900",1.8,1.3355
3/31/2026,12,"11,300",1.7,1.3354
3/31/2026,17,"4,000",2.1,1.3363
3/31/2026,21,50,2.2,1.3362
3/31/2026,22,"1,100",3.3,1.3379
3/31/2026,23,"5,000",2.1,1.3362
3/31/2026,31,"7,900",2.2,1.3362
3/31/2026,32,"2,900",2.3,1.3364
3/31/2026,40,"3,800",2.1,1.336
3/31/2026,42,"7,500",2.1,1.3361
4/1/2026,1,"1,800",1.3,1.3349
4/1/2026,6,"3,000",2,1.3359
4/1/2026,8,"1,750",1.6,1.3353
4/1/2026,12,"3,500",1.6,1.3353
4/1/2026,17,"1,200",1.8,1.3358
4/1/2026,21,0,0,0
4/1/2026,22,250,3.2,1.3377
4/1/2026,23,"1,500",2,1.3361
4/1/2026,31,"2,400",2.2,1.3363
4/1/2026,32,"1,000",2.3,1.3364
4/1/2026,40,"1,500",1.8,1.3357
4/1/2026,42,"1,950",1.9,1.3358
4/3/2026,1,"6,200",1.3,1.3349
4/3/2026,6,"10,100",2.1,1.3361
4/3/2026,8,"10,400",1.6,1.3354
4/3/2026,12,"11,300",1.6,1.3353
4/3/2026,17,"7,000",1.7,1.3354
4/3/2026,21,500,3.3,1.3379
4/3/2026,22,"1,300",2.6,1.3369
4/3/2026,23,"10,600",2,1.3358
4/3/2026,31,"9,200",2,1.336
4/3/2026,32,"6,900",1.7,1.3354
4/3/2026,40,"6,500",1.8,1.3357
4/3/2026,42,"11,000",1.9,1.3357
4/6/2026,1,"9,200",1.4,1.335
4/6/2026,6,"10,000",1.9,1.3359
4/6/2026,8,"10,300",1.75,1.3354
4/6/2026,12,"12,000",1.3,1.3348
4/6/2026,17,"9,000",1.6,1.3354
4/6/2026,21,100,2.3,1.3364
4/6/2026,22,"1,900",1.7,1.3355
4/6/2026,23,"11,900",1.7,1.3357
4/6/2026,31,"10,400",1.9,1.3358
4/6/2026,32,"12,000",1.6,1.3354
4/6/2026,40,"6,300",1.9,1.3358
4/6/2026,42,"11,800",2,1.3359
4/9/2026,1,"8,000",1.5,1.335
4/9/2026,6,"10,000",1.9,1.3358
4/9/2026,8,"10,800",1.8,1.3355
4/9/2026,12,"11,600",1.1,1.3345
4/9/2026,17,"7,500",1.7,1.3355
4/9/2026,21,0,0,0
4/9/2026,22,400,1.8,1.3358
4/9/2026,23,"10,800",1.9,1.3355
4/9/2026,31,"10,900",1.8,1.3358
4/9/2026,32,"7,000",1.8,1.3355
4/9/2026,40,"4,300",2.1,1.336
4/9/2026,42,"5,200",1.8,1.3356
4/10/2026,1,"3,000",1.3,1.3349
4/10/2026,6,"9,500",2,1.3361
4/10/2026,8,"4,300",1.6,1.3354
4/10/2026,12,"6,900",1.5,1.3352
4/10/2026,17,"2,900",1.7,1.3355
4/10/2026,21,0,0,0
4/10/2026,22,"2,800",1.6,1.3354
4/10/2026,23,"6,800",1.8,1.3357
4/10/2026,31,"8,000",1.7,1.3356
4/10/2026,32,"3,000",1.7,1.3353
4/10/2026,40,"1,800",1.9,1.3358
4/10/2026,42,"2,000",2,1.336
4/12/2026,1,"5,000",1.7,1.3354
4/12/2026,6,"10,100",1.8,1.3356
4/12/2026,8,"7,800",1.7,1.3356
4/12/2026,12,"8,500",1.2,1.3348
4/12/2026,17,"5,000",1,1.3345
4/12/2026,21,0,0,0
4/12/2026,22,"6,000",1.5,1.3351
4/12/2026,23,"10,400",1.2,1.3348
4/12/2026,31,"10,500",1.5,1.335
4/12/2026,32,"6,300",1.5,1.3349
4/12/2026,40,"1,200",1.7,1.3356
4/12/2026,42,"2,000",1.7,1.3355
